frame,track_id,class_id,x1,y1,x2,y2,confidence
0,1,2,1423.9808349609375,741.0142822265625,1494.8370361328125,911.8927001953125,0.8263508677482605
0,2,2,1359.669677734375,436.58990478515625,1437.8201904296875,525.861328125,0.7145752310752869
0,3,2,1298.427734375,263.8616943359375,1335.673583984375,315.2360534667969,0.5605174899101257
1,1,2,1425.03662109375,682.3875732421875,1497.1383056640625,838.384765625,0.776533305644989
6,15,2,1555.0821533203125,711.7825927734375,1653.078369140625,835.268310546875,0.9321438074111938
6,16,2,605.3343505859375,752.4200439453125,670.01025390625,881.9606323242188,0.9215946793556213
6,17,2,1226.7230224609375,458.71685791015625,1278.050537109375,551.4437255859375,0.9058720469474792
6,18,2,885.6046142578125,575.6284790039062,949.8151245117188,671.7100830078125,0.9196915626525879
6,19,2,812.6991577148438,557.0516967773438,870.215087890625,657.11767578125,0.9221330881118774
6,20,2,1649.0894775390625,444.0361022949219,1715.3763427734375,519.5884399414062,0.8919769525527954
6,21,2,1472.719482421875,419.49932861328125,1528.4818115234375,504.47552490234375,0.8801535367965698
6,22,2,835.5007934570312,616.572021484375,903.3043212890625,719.0321044921875,0.9251099824905396
6,23,2,1738.8453369140625,589.9890747070312,1783.666748046875,695.2757568359375,0.9020271301269531
6,24,2,1554.7259521484375,484.6924743652344,1618.31494140625,576.8566284179688,0.8687623739242554
6,25,2,1572.621826171875,552.7796630859375,1640.627685546875,661.2675170898438,0.8801642656326294
7,15,2,1553.8538818359375,714.2508544921875,1629.097412109375,833.4854125976562,0.9180934429168701
7,16,2,611.1190795898438,752.1417236328125,678.994140625,877.1014404296875,0.91718590259552
7,17,2,1236.9315185546875,462.3066101074219,1282.6695556640625,553.8236083984375,0.8957818150520325
7,18,2,893.9454345703125,576.4596557617188,958.2081909179688,670.7232055664062,0.9060583710670471
7,19,2,810.3484497070312,560.790283203125,876.257080078125,662.6295776367188,0.9265096187591553
7,20,2,1654.3782958984375,446.8282165527344,1717.5765380859375,524.6635131835938,0.9086260199546814
7,21,2,1478.7333984375,423.9632568359375,1536.0308837890625,507.6518249511719,0.8739987015724182
7,22,2,841.4495239257812,616.8527221679688,899.2651977539062,724.2027587890625,0.9041571021080017
7,23,2,1746.3609619140625,591.3851928710938,1797.72998046875,696.57421875,0.9060087203979492
7,24,2,1554.0748291015625,487.3972473144531,1606.184326171875,581.4993286132812,0.8709350824356079
7,25,2,1576.905517578125,555.7640380859375,1651.78466796875,660.3124389648438,0.8768053650856018
7,27,3,1403.562255859375,386.6129455566406,1432.560302734375,455.0998840332031,0.8365150690078735
8,15,2,1543.8294677734375,717.8978881835938,1616.045166015625,838.6969604492188,0.9152621030807495
